name,city,state,identifier,rating,address,material,designer,builder,opened,hours,size,notes,info,helmet,lights,photo_cred,photo_url,video_url,num_pics,obstacles
alameda skatepark,alameda,california,alameda,2,"1101 W Red Line Ave, Alameda, CA 94501",concrete,community effort,community effort,,,15000,,,,,,,,5,
,american canyon,california,american canyon,2,"298 Benton Way, American Canyon, CA 94503",prefabricated ramps,,,,"When school is out: - 8am - Dusk, When school is in session: Monday, Tuesday, Thursday, Friday: 3:15pm - Dusk, Wednesday: 1:30pm - Dusk",13000,,,,,,,,2,
anaheim west,anaheim,california,anaheim,2,"2271 W Crescent Ave, Anaheim, CA 92801",concrete,purkiss rose,,2002,,10000,,,,,,,,4,
downtown skate zone,anaheim,california,anaheim2,2,"E Broadway & S Olive St, Anaheim, CA 92805",prefabricated ramps,,,,,2000,,,,,,,,2,
south volante skatepark,anderson,california,anderson,3,"1887 Howard St, Anderson, CA 96007",concrete,,,,,13000,,,,,,,,4,
,antioch,california,antioch,2,"4701 Lone Tree Way, Antioch, CA 94531",concrete,,,,,15000,,,,,,,,4,
3 diamonds skatepark,apple valley,california,apple valley,2,"13467 Navajo Rd, Apple Valley, CA 92308",concrete,,,,,,,,,,northwestskater.com,http://www.northwestskater.com/applevalley.html,,4,
bonita skatepark,arcadia,california,arcadia,2,"207 Bonita St, Arcadia, CA 91006",concrete,purkiss rose,,2003,Dawn - 10pm,10700,,,,,northwestskater.com,http://www.northwestskater.com/arcadia.html,,4,"ledges, stairs, rails, pyramid, quarterpipes"
rampart,arcata,california,arcata,3,"700 S G St, Arcata, CA 95521",wood/masonite,,,,,,,"This is a private, indoor skatepark. It costs money and requires a helmet/pads to skate.",,,,,,4,
,arcata,california,arcata2,3,"Sunset Ave & Jay St, Arcata, CA 95521",concrete,,,,,,,,,,,,,4,
,arvin,california,arvin,,,prefabricated ramps,,,,,,,,,,,,,0,
a-town park,atascadero,california,atascadero,3,"5493 Traffic Way, Atascadero, CA 93422",wood/masonite,,,,,,,"This is a private, indoor skatepark.  It costs money to skate and a helmet/pads are required",,,,,,4,
osborn skatepark,atwater,california,atwater,2,"501 E Bellevue Rd, Atwater, CA 95301",prefabricated ramps,,,,,,,,,,,,,4,
,auburn,california,auburn,3,"855 Pacific Ave, Auburn, CA 95603",concrete,,,,Dawn - Dusk,,,,,,northwestskater.com,http://www.northwestskater.com/auburnca.html,,5,
,avalon,california,avalon,,,,,,,,,,,,,,,,0,
,avenal,california,avenal,3,"703 S 4th Ave, Avenal, CA 93204",concrete,spohn ranch,,,,,,,,,,,,3,
,azusa,california,azusa,3,"320 N Orange Pl, Azusa, CA 91702",concrete,purkiss rose,,2002,,,,,,,,,,4,
beach park,bakersfield,california,bakersfield,3,"21st St & Oak St, Bakersfield, CA 93301",concrete,,,,5am - 10pm,,,,,,,,,5,
planz,bakersfield,california,bakersfield2,3,"1601 Planz Rd, Bakersfield, CA 93304",concrete,spohn ranch,spohn ranch,2014,,7000,,,,,Spohn Ranch,http://www.spohnranch.com/portfolio/planz-park-skatepark/,,4,
kernside,bakersfield,california,bakersfield3,4,,concrete,,,,,,,This is a DIY skatepark,,,,,,4,
,baldwin park,california,baldwin park,3,"15010 Badillo St, Baldwin Park, CA 91706",concrete,purkiss rose,california skateparks,2003,,12000,,,,,,,,4,
,banning,california,banning,3,"N San Gorgonio Ave & E George St, Banning, CA 92220",prefabricated ramps,,,,,,,,,,,,,4,
dana park skatepark,barstow,california,barstow,3,"840 Barstow Rd, Barstow, CA 92311",concrete,mig/csp,california skateparks,,,12000,,,,,northwestskater.com,http://www.northwestskater.com/barstow.html,,4,
,bell gardens,california,bell gardens,3,"6641 Florence Pl, Bell Gardens Ca",concrete,purkiss rose,california skateparks,,,,,,,,socalskateparks.com,http://www.socalskateparks.com/listing/bell-gardens-skatepark-los-angeles-skateparks.html,,4,
caruthers park,bellflower,california,bellflower,2,"10500 E Flora Vista St, Bellflower, CA 90706",concrete,purkiss rose,california skateparks,,,,,,,,northwestskater.com,http://www.northwestskater.com/bellflower.html,,4,
highland skatepark,ben lomond,california,ben lomond,3,"8500 CA-9, Ben Lomond, CA 95006",concrete,wormhoudt inc.,wormhoudt inc.,,,4500,,,,,wormhoudt inc. Inc.,http://www.skateparks.com/completed_parks.php?nid=76#top,,4,
x-park,benicia,california,benicia,4,"Rose Dr & Dempsey Dr, Benicia, CA 94510",concrete,wormhoudt inc.,,2007,,20000,,,,,northwestskater.com,http://www.northwestskater.com/benicia.html,,6,
orkin/hsang memorial skatepark,berkeley,california,berkeley,3,"5th St & Harrison St, Berkeley, CA 94710",concrete,site design,,,8am - 9pm,18000,,,,yes,,,,6,
sugarloaf skatepark,big bear lake,california,big bear lake,2,"44828 Baldwin Ln, Big Bear City, CA 92314",prefabricated ramps,,,,,,,,,,Concrete Disciples,http://www.concretedisciples.com/index.php/skatepark/usa/southern-california/21155-sugarloaf-skatepark-big-bear-california-usa,,4,
town skatepark,big bear lake,california,big bear lake2,2,"40946 Big Bear Blvd, Big Bear Lake, CA 92315",prefabricated ramps,,,,,,,,yes,,Concrete Disciples,http://www.concretedisciples.com/index.php/skatepark/usa/southern-california/19955-youth-center-skatepark-big-bear-lake-california-usa,,4,
,biggs,california,biggs,1,"C St & 9th St, Biggs, CA 95917",concrete,,,,,,,,,,,,,0,
,bishop,california,bishop,2,"N Main St & Park St, Bishop, CA 93514",concrete,,,,,,,,,,,,,4,
mesa skatepark,bolinas,california,bolinas,3,"100 Mesa Rd, Bolinas, CA 94924",concrete,,,,,,,,,,,,,4,
