name,city,state,identifier,rating,address,latitude,longitude,material,designer,builder,opened,hours,size,notes,info,helmet,lights,photo_cred,photo_url,video_url,num_pics,obstacles
alameda skatepark,alameda,california,alameda,3,"1101 W Red Line Ave, Alameda, CA 94501",37.7891061,-122.3054728,concrete,community effort,community effort,,,15000,,,,,,,,5,
,american canyon,california,american canyon,2,"298 Benton Way, American Canyon, CA 94503",38.1700624,-122.2659526,prefabricated ramps,,,,"When school is out: - 8am - Dusk, When school is in session: Monday, Tuesday, Thursday, Friday: 3:15pm - Dusk, Wednesday: 1:30pm - Dusk",13000,,,,,,,,2,
anaheim west,anaheim,california,anaheim,3,"2271 W Crescent Ave, Anaheim, CA 92801",33.84028,-117.9621765,concrete,purkiss rose,,2002,,10000,,,,,,,,4,
downtown skate zone,anaheim,california,anaheim2,2,"E Broadway & S Olive St, Anaheim, CA 92805",33.834212,-117.9094369,prefabricated ramps,,,,,2000,,,,,,,,2,
south volante skatepark,anderson,california,anderson,3,"1887 Howard St, Anderson, CA 96007",40.4477628,-122.3001895,concrete,,,,,13000,,,,,,,,4,
,antioch,california,antioch,2,"4701 Lone Tree Way, Antioch, CA 94531",37.966513,-121.774019,concrete,,,,,15000,,,,,,,,4,
3 diamonds skatepark,apple valley,california,apple valley,2,"13467 Navajo Rd, Apple Valley, CA 92308",34.4960799,-117.1897508,concrete,,,,,,,,,,northwestskater.com,http://www.northwestskater.com/applevalley.html,,4,
bonita skatepark,arcadia,california,arcadia,2,"207 Bonita St, Arcadia, CA 91006",34.139005,-118.024396,concrete,purkiss rose,,2003,Dawn - 10pm,10700,,,,,northwestskater.com,http://www.northwestskater.com/arcadia.html,,4,"ledges, stairs, rails, pyramid, quarterpipes"
rampart,arcata,california,arcata,3,"700 S G St, Arcata, CA 95521",40.8561178,-124.0889229,wood/masonite,,,,,,,"This is a private, indoor skatepark. It costs money and requires a helmet/pads to skate.",,,,,,4,
,arcata,california,arcata2,3,"Sunset Ave & Jay St, Arcata, CA 95521",40.880127,-124.0845543,concrete,,,,,,,,,,,,,4,
,arvin,california,arvin,,,0,0,prefabricated ramps,,,,,,,,,,,,,0,
a-town park,atascadero,california,atascadero,3,"5493 Traffic Way, Atascadero, CA 93422",35.4964374,-120.6676046,wood/masonite,,,,,,,"This is a private, indoor skatepark.  It costs money to skate and a helmet/pads are required",,,,,,4,
