name,city,state,identifier,rating,address,material,designer,builder,opened,hours,size,notes,beta,helmet,lights,photo_cred,video_url,num_pics,obstacles
alameda skatepark,alameda,california,alameda,2,1101 w red line ave alameda ca 94501,concrete,community effort,community effort,,,15000,,,,,,,5,
,american canyon,california,american canyon,2,298 benton way american canyon ca 94503,prefabricated ramps,,,,"When school is out: - 8am - Dusk, When school is in session: Monday, Tuesday, Thursday, Friday: 3:15pm - Dusk, Wednesday: 1:30pm - Dusk",13000,,,,,,,2,
anaheim west,anaheim,california,anaheim,2,2271 w crescent ave anaheim ca 92801,concrete,purkiss rose,,2002,,10000,,,,,,,4,
downtown skate zone,anaheim,california,anaheim2,2,e broadway & s olive st anaheim ca 92805,prefabricated ramps,,,,,2000,,,,,,,2,
south volante skatepark,anderson,california,anderson,3,1887 howard st anderson ca 96007,concrete,,,,,13000,,,,,,,4,
,antioch,california,antioch,2,4701 lone tree way antioch ca 94531,concrete,,,,,15000,,,,,,,4,
3 diamonds skatepark,apple valley,california,apple valley,2,13467 navajo rd apple valley ca 92308,concrete,,,,,,,,,,northwestskater.com,,4,
bonita skatepark,arcadia,california,arcadia,2,207 bonita st arcadia ca 91006,concrete,purkiss rose,,2003,Dawn - 10pm,10700,,,,,northwestskater.com,,4,"ledges, stairs, rails, pyramid, quarterpipes"
rampart,arcata,california,arcata,3,700 s g st arcata ca 95521,wood,,,,,,,"This is a private, indoor skatepark. It costs money and requires a helmet/pads to skate.",,,,,4,
,arcata,california,arcata2,3,sunset ave & jay st arcata ca 95521,concrete,,,,,,,,,,,,4,
,arvin,california,arvin,,,prefabricated ramps,,,,,,,,,,,,0,
a-town park,atascadero,california,atascadero,3,5493 traffic way atascadero ca 93422,wood,,,,"This is a private, indoor skatepark.  It costs money to skate and a helmet/pads are required",,,,,,,,4,
osborn skatepark,atwater,california,atwater,2,501 e bellevue rd atwater ca 95301,prefabricated ramps,,,,,,,,,,,,4,
,auburn,california,auburn,3,855 pacific ave auburn ca 95603,concrete,,,,Dawn - Dusk,,,,,,northwestskater.com,,5,
,avalon,california,avalon,,,,,,,,,,,,,,,0,
,avenal,california,avenal,3,703 s 4th ave avenal ca 93204,concrete,spohn ranch,,,,,,,,,,,3,
,azusa,california,azusa,3,320 n orange pl azusa ca 91702,concrete,purkiss rose,,2002,,,,,,,,,4,
beach park,bakersfield,california,bakersfield,3,21st st & oak st bakersfield ca 93301,concrete,,,,5am - 10pm,,,,,,,,5,
planz,bakersfield,california,bakersfield2,3,1601 planz rd bakersfield ca 93304,concrete,spohn ranch,spohn ranch,2014,,7000,,,,,Spohn Ranch,,4,
kernside,bakersfield,california,bakersfield3,4,,concrete,,,,,,,This is a DIY skatepark,,,,,4,
,baldwin park,california,baldwin park,3,15010 badillo st baldwin park ca 91706,concrete,purkiss rose,california skateparks,2003,,12000,,,,,,,4,
,banning,california,banning,3,n san gorgonio ave & e george st banning ca 92220,prefabricated ramps,,,,,,,,,,,,4,
dana park skatepark,barstow,california,barstow,3,840 barstow rd barstow ca 92311,concrete,mig/csp,california skateparks,,,12000,,,,,northwestskater.com,,4,
,bell,california,bell,2,4357 gage ave bell ca 90201,prefabricated ramps,,,,,,,,,,Concrete Disciples,,4,
,bell gardens,california,bell gardens,3,6641 florence pl bell gardens ca,concrete,purkiss rose,california skateparks,,,,,,,,socalskateparks.com,,4,
caruthers park,bellflower,california,bellflower,2,10500 e flora vista st bellflower ca 90706,concrete,purkiss rose,california skateparks,,,,,,,,northwestskater.com,,4,
highland skatepark,ben lomond,california,ben lomond,3,8500 ca-9 ben lomond ca 95006,concrete,wormhoudt,wormhoudt,,,4500,,,,,Wormhoudt Inc.,,4,
x-park,benicia,california,benicia,4,rose dr & dempsey dr benicia ca 94510,concrete,wormhoudt,,2007,,20000,,,,,northwestskater.com,,6,
orkin/hsang memorial skatepark,berkeley,california,berkeley,3,5th st & harrison st berkeley ca 94710,concrete,site design,,,8am - 9pm,18000,,,,yes,,,6,
sugarloaf skatepark,big bear lake,california,big bear lake,2,44828 baldwin ln big bear city ca 92314,prefabricated ramps,,,,,,,,,,Concrete Disciples,,4,
town skatepark,big bear lake,california,big bear lake2,2,40946 big bear blvd big bear lake ca 92315,prefabricated ramps,,,,,,,,yes,,Concrete Disciples,,4,
,biggs,california,biggs,1,c st & 9th st biggs ca 95917,concrete,,,,,,,,,,,,0,
,bishop,california,bishop,2,n main st & park st bishop ca 93514,concrete,,,,,,,,,,,,4,
mesa skatepark,bolinas,california,bolinas,3,100 mesa rd bolinas ca 94924,concrete,,,,,,,,,,,,4,
,borrego springs,california,borrego springs,4,630 cahuilla road borrego springs ca ,concrete,site design,california skateparks,,,,,,,,California Skateparks,,4,"quartpipes, bowls, rails, metal coping"
blake davis skatepark,brawley,california,brawley,3,magnolia st & n 3rd st brawley ca 92227,concrete,purkiss rose,,2003,8am - 10pm,18000,,,,,socalskateparks.com,,4,
,brea,california,brea,3,imperial hwy & berry st brea ca 92821,concrete,purkiss rose,,2000,7am - Dusk,10000,,,,,socalskateparks.com,,4,
,brentwood,california,brentwood,3,198 griffith ln brentwood ca 94513,concrete,,,,9am - Dusk,18000,,,,,Concrete Disciples,,4,
,brisbane,california,brisbane,1,park ln & old county rd brisbane ca 94005,wood & prefabricated ramps,,,,,,,,,,,,2,"miniramp, rail"
,buena park,california,buena park,2,7725 el dorado dr buena park ca 90620,concrete & prefabricated ramps,,,2003,8am - Dusk,10000,,,,,socalskateparks.com,,4,
