skatepark_id,city,state,address,latitude,longitude
1,alameda,california,"1101 W Red Line Ave, Alameda, CA 94501",37.789366,-122.307045
2,american canyon,california,"298 Benton Way, American Canyon, CA 94503",38.171292,-122.266
3,anaheim,california,"670 N Ventura St, Anaheim, CA 92801",33.841615,-117.962502
4,anaheim,california,"373 E Broadway, Anaheim, CA 92805",33.834303,-117.910033
5,anderson,california,"20298 Olinda Rd, Anderson, CA 96007",40.441879,-122.302099
6,antioch,california,"4701 Lone Tree Way, Antioch, CA 94531",37.964902,-121.77001
7,apple valley,california,"13467 Navajo Rd, Apple Valley, CA 92308",34.496583,-117.188194
8,arcadia,california,"207 Bonita St, Arcadia, CA 91006",34.139063,-118.023842
9,arcata,california,"700 S G St, Arcata, CA 95521",40.8561178,-124.0889229
10,arcata,california,"1010 Sunset Ave, Arcata, CA 95521",40.879455,-124.08402
11,atascadero,california,"5493 Traffic Way, Atascadero, CA 93422",35.49586,-120.666518
12,atwater,california,"435 E Bellevue Rd, Atwater, CA 95301",37.360795,-120.59052
13,auburn,california,"855 Pacific Ave, Auburn, CA 95603",38.889489,-121.067753
14,avalon,california,"410 Avalon Cyn Rd, Avalon, CA 90704",33.33908,-118.327924
15,avenal,california,"703 S 4th Ave, Avenal, CA 93204",36.001341,-120.133159
16,azusa,california,"320 N Orange Pl, Azusa, CA 91702",34.127046,-117.912438
17,bakersfield,california,"3699 21st St, Bakersfield, CA 93301",35.379111,-119.043081
18,bakersfield,california,"1601 Planz Rd, Bakersfield, CA 93304",35.324457,-119.01956
19,bakersfield,california,"Valley Ln & Eagles View St , Bakersfield, CA 93306",35.415044,-118.893145
20,baldwin park,california,"15010 Badillo St, Baldwin Park, CA 91706",34.086257,-117.951594
21,banning,california,"749 N San Gorgonio Ave, Banning, CA 92220",33.931353,-116.877774
22,barstow,california,"840 Barstow Rd, Barstow, CA 92311",34.889283,-117.023591
23,bell gardens,california,"6641 Florence Pl, Bell Gardens CA 90201",33.96629,-118.146744
24,bellflower,california,"10522 Flora Vista St, Bellflower, CA 90706",33.87951,-118.108814
25,ben lomond,california,"8500 CA-9, Ben Lomond, CA 95006",37.080843,-122.08365
26,benicia,california,"Rose Dr & Dempsey Dr, Benicia, CA 94510",38.087937,-122.161936
27,berkeley,california,"711 Harrison St, Berkeley, CA 94710",37.881053,-122.303443
