name,city,state,rating,designer,builder,opened,address,hours,size,notes,helmet
,Alameda,CA,,Community effort,Community effort,,1st St & Ave A Alameda CA 94501,,15000,,
,American Canyon,CA,,Prefab,Prefab,7/15/2003,298 Benton Way American Canyon CA 94503,When school is out - 8am - Sunset/ When school is in session - Mondays Tuesdays Thursdays Fridays 3:15pm - Sunset Wednesdays 1:30pm - Sunset,13000,,
Downtown Skate Zone,Anaheim,CA,,Prefab,Prefab,7/2/2015,E Broadway & S Olive St Anaheim CA 92805,,2000,,
Anaheim West,Anaheim,CA,,Purkiss Rose,,2002,2271 W Crescent Ave Anaheim CA 92801,,10000,,
South Volante Skatepark,Anderson,CA,,,,,1887 Howard St Anderson CA 96007,,13000,,
,Antioch,CA,,,,,4701 Lone Tree Way Antioch CA 94531,,15000,,
3 Diamonds Skatepark,Apple Valley,CA,,,,,13467 Navajo Rd Apple Valley CA 92308,,,,
Bonita Skatepark,Arcadia,CA,2,Purkiss Rose,,2003,207 Bonita St Arcadia CA 91006,Dawn - 10pm,10700,,
,Arcata,CA,3,,,,Sunset Ave & Jay St Arcata CA 95521,,,,
,Arvin,CA,,Prefab,Prefab,,,,,,
A-Town Park,Atascadero,CA,,,Indoor park,,5493 Traffic Way Atascadero CA 93422,,,,
Osborn Skatepark,Atwater,CA,,Prefab,Prefab,,501 E Bellevue Rd Atwater CA 95301,,,,
,Auburn,CA,3,,,,855 Pacific Ave Auburn CA 95603,Sunrise-Sunset,,,
,Avalon,CA,,,,,,,,,
,Azusa,CA,,Purkiss Rose,,2002,320 N Orange Pl Azusa CA 91702,,,,
Beach Park,Bakersfield,CA,,,,,21st St & Oak St Bakersfield CA 93301,5am-10pm,,,
,Baldwin Park,CA,,Purkiss Rose,California Skateparks,2003,15010 Badillo Street Baldwin Park CA 91706,,12000,,
,Banning,CA,,,,,N San Gorgonio Ave & E George St Banning CA 92220,,,,
Dana Park Skatepark,Barstow,CA,,MIG/CSP,California Skateparks,,840 Barstow Rd. Barstow CA 92311,,12000,,
,Bell,CA,,Prefab,Prefab,,4357 Gage Ave Bell CA 90201,,,,
,Bell Gardens,CA,,Purkiss Rose,California Skateparks,,4357 Gage Avenue Bell CA 90201,,,,
Caruthers Park,Bellflower,CA,,Purkiss Rose,California Skateparks,11/30/2000,10500 E. Flora Vista Street Bellflower CA 90706,,,,
,Ben Lomond,CA,3,,,,,,,,
X-Park,Benicia,CA,4,Wormhoudt,,2007,Dempsey Dr Benicia CA 94510,,20000,,
Orkin/Hsang Memorial Skatepark,Berkeley,CA,,Site Design,,,5th St & Harrison St Berkeley CA 94710,8am - 9pm,18000,,
Sugarloaf Skatepark,Big Bear Lake,CA,,,Prefab,,44828 Baldwin Ln Big Bear City CA 92314,,,,
,Big Bear Lake,CA,,,Prefab,,40946 Big Bear Blvd Big Bear Lake CA 92315,,,,Yes
,Biggs,CA,POS,,,,C St & 9th St Biggs CA 95917,,,,
,Bishop,CA,2,,,,N Main St & Park St. Bishop CA 93514,,,,
Mesa Skate Park,Bolinas,CA,POS,,,,55 Mesa Rd Bolinas CA 94924,,,,
,Borrego Springs,CA,,Site Design,California Skateparks,,630 Cahuilla Road Borrego Springs CA.,,,,
Blake Davis Skatepark,Brawley,CA,3,Purkiss Rose,,2003,Magnolia St & N 3rd St Brawley CA 92227,8am - 10pm,18000,,
,Brea,CA,,Purkiss Rose,,2000,Imperial Hwy & Berry St Brea CA 92821,7am - Dusk,10000,,
,Brentwood,CA,3,,,,198 Griffith Ln Brentwood CA 94513,9am - Sunset,18000,,
,Buena Park,CA,,Prefab,Prefab,2003,7725 El Dorado Dr Buena Park CA 90620,8am - Sunset,10000,,
,Burbank,CA,,,,,1625 N Valley St Burbank CA 91505,"Monday - Thursday 4pm - 7:00 p.m.
 Friday 4:00 p.m. - 9:00 p.m.
 Saturday - Sunday 10:00 a.m. - 5:00 p.m",11500,Costs $3 Burbank Resident $5 Non-Resident/Lights/Different Rules/Pad Nannies,Yes
Calexico Nosotros Saktepark,Calexico,CA,,,,,Kloke Rd & Calexico St Calexico CA 92231,,,,
Pleasant Valley Skatepark,Camarillo,CA,,Wormhoudt,,1998,1030 Temple Ave Camarillo CA 93010,Sunrise-Sunset,12000+,Pay?,
,Cameron Park,CA,,,,4/21/2001,2380 Merrychase Dr Cameron Park CA 95682,Sunrise-Sunset,,Cost $30000 Closing?,
,Capitola,CA,,,,,,,,,
,Carlsbad,CA,,,,2001,2560 Orion Way Carlsbad CA 92010,8am - 10pm,15000+,right by pigs,
La Sierra Skatepark,Carmichael,CA,,Prefab,Prefab,2008,5325 Engle Road Carmichael CA 95608,12pm - 6am,,Costs $1 a day $10 a month pad nannies,
,Carson,CA,,Purkiss Rose,,2003,22400 Moneta Ave Carson CA 90745,lights til 10pm,10000,,
,Castroville,CA,,Prefab,Prefab,,11261 Crane St Castroville CA 95012,,,,
,Ceres,CA,,,,,Moffett Rd & Fowler Rd Ceres CA 95307,,16000,,
,Cerritos,CA,,Purkiss Rose,Hondo Company Inc.,2000,19900 Bloomfield Ave Cerritos CA 90703,8am - Sunset Mondays: 11am - Sunset,10000,cost $316724,
,Chico,CA,,,,,Humboldt Ave & Flume St Chico CA 95928,8am - Sunset,10000,,
Ayala Park,Chino,CA,,Site Design,California Skateparks,2003,Central Ave. & Edison Ave. Chino CA 91708,8am - 10pm,27624,lights,
,Chino Hills,CA,,Purkiss Rose/California Skateparks,,2003,16333 Fairfield Ranch Rd Chino Hills CA 91709,7am - Dusk,6000,,
